job,answer
poseur en revêtement,"construction,charpenterie"
postier,transports
prefêt des basses-alpes,administration publique
premier clerc de notaire,bureaux de consultation
professeur technique,bureaux de consultation
propriétaire buraliste,commerce de détail
propriétaire charpentier,"construction,charpenterie"
propriétaire clerc de notaire,bureaux de consultation
propriétaire et marchand,commerce de détail
propriétaire et marchande de bois,"bois,liège,meubles"
propriétaire et maître d'hôtel,"hôtellerie,restauration"
propriétaire fermière,employées pour le ménage et la ferme
propriétaire forestier,"bois,liège,meubles"
propriétaire marinier,transports
propriétaire rentière,"affaires immobilières,location"
préfet,administration publique
préposé chef aux postes,administration publique
père hôtelier restaurateur,"hôtellerie,restauration"
qualiticien,industrie chimique
quartier maître torpilleur de la marine nationale,transports
receveur principal des contributions indirectes,administration publique
regrolier,industrie textile
relieur imprimeur,arts graphiques
représentant de compagnie,commerce de gros
représentant en machines,commerce de gros
représentant marine,commerce de gros
représentante,"agences,locations,consultations"
responsable d'équipe de chantier,"construction,charpenterie"
responsable des ventes,commerce de détail
retordeur de coton,industrie textile
retraité d'octroi,administration publique
retraité de la fonderie,industrie des métaux
retraité des travaux publics,administration publique
retraité du bâtiment,"construction,charpenterie"
retraité du gdf,"gaz,eau,éléctricité"
retraité et croix de guerre,administration publique
retraité industriel,administration publique
ripeur,industrie textile
régisseur de la ferme expérimentale,employées pour le ménage et la ferme
sabotier retraité,"bois,liège,meubles"
safranier,industrie du papier
scieur de long charpentier,"construction,charpenterie"
scieur de loses,"bois,liège,meubles"
second maître fusilier marin,administration publique
second maître à la direction des ports,administration publique
secrétaire adjoint,"agences,locations,consultations"
secrétaire archiviste,bureaux de consultation
sellier bourrelier,
sergent instructeur,administration publique
sergent-instructeur,administration publique
sergent-major,administration publique
sergeur,industrie textile
serveuse,"hôtellerie,restauration"
soldat charpentier,"construction,charpenterie"
soldat cultivateur,"journaliers,entretien"
soldat dca,administration publique
soldat de l'armée territoriale,administration publique
soldat et boucher,produits alimentaires
soldat us army,administration publique
sténodactylo,bureaux de consultation
surveillante,employées pour le ménage et la ferme
syndic de bricquebec,administration publique
tailleur couturier,"vêtements, lingerie,chaussures,literies"
tapissier en meubles,"bois,liège,meubles"
technicien dans l'aviation,transports
technicien géomètre,"agences,locations,consultations"
techniverrier,vachers célibataires
teneur de livres,bureaux de consultation
teneur de salle de pool,"hôtellerie,restauration"
tisserand,industrie textile
tisseur,industrie textile
tisseur en filoselle,industrie textile
tisseur à toile,industrie textile
tisseuse de mousseline,industrie textile
tondeur chef,réparations
touneiller,industrie textile
tourneur sur ivoire,"bijouterie,gravure,frappe"
travailleur au moulin murdock,industrie du papier
trompette du régiment,administration publique
truquiste,arts graphiques
trutticultrice,produits alimentaires
tueur à l'abattoir,produits alimentaires
télégraphiste postes,administration publique
valet de pied de la maison impériale,"employés pour tous,célibataires"
vendeur en confection,"vêtements, lingerie,chaussures,literies"
videur,réparations
vigneronne et lingère,
viticultrice,produits alimentaires
vélineur,industrie textile
zingueuse,industrie textile
écorceur,"bois,liège,meubles"
écrivain,arts graphiques
écrivain public,bureaux de consultation
électricien sur voitures,réparations
élève commissaire messageries maritimes,transports
élève de l'hospice de cambrai,"employés pour tous,célibataires"
émailleur de porcelaine,industrie des métaux
émouleuse,industrie textile
adjoint au tribunal,administration publique
adjoint de gendarmerie,administration publique
adjoint technique chef,administration publique
administrateur des colonies en retraite,administration publique
affoireurs de vin,produits alimentaires
agent,"agences,locations,consultations"
agent auxiliaire de contributions,administration publique
agent de change près la bourse de lausanne,"banques,établissements financiers"
agent de colonisation,"agences,locations,consultations"
agent de portage,transports
agent de sécurité,administration publique
agent des travaux,"journaliers,entretien"
agent en douanes,administration publique
agent militaire,administration publique
agent principal d'exploitation postes,administration publique
agent télégraphiste,"gaz,eau,éléctricité"
agent à l'rsr,administration publique
agent-voyageur de commerce,commerce de détail
agrumiculteur,produits alimentaires
aide chauffeur,transports
aide couvreur,"construction,charpenterie"
aide machiniste,industrie des métaux
aide-garde-bébé,employées pour le ménage et la ferme
aide-électricien,"gaz,eau,éléctricité"
ajusteur,réparations
ajusteur à la cff,transports
algocultrice,"agences,locations,consultations"
analyste politique,administration publique
ancien charron,industrie des métaux
ancien commis,commerce de détail
ancien employé des chemin de fer,transports
ancien militaire ménager,"employés pour tous,célibataires"
ancien serrurier,industrie des métaux
ancien sous-préfet,administration publique
ancienne commerçante,commerce de détail
antenniste,"gaz,eau,éléctricité"
apothicairesse,industrie chimique
appondeur,réparations
armurier,industrie des métaux
artisan chaudronnier,industrie des métaux
artisan litier,"vêtements, lingerie,chaussures,literies"
artisan serrurier,industrie des métaux
artiste funambule,arts graphiques
assembleuse,industrie textile
assistant-technicien,bureaux de consultation
aubergiste et tonnelier,"hôtellerie,restauration"
autoélectricien,réparations
avocat à la cour de lausanne,bureaux de consultation
betteravier,produits alimentaires
biscottier,produits alimentaires
blanchisseur de fils,industrie textile
blaonnier,industrie textile
boiseuse,"bois,liège,meubles"
bonne d'enfants,employées pour le ménage et la ferme
boucher,produits alimentaires
boucher et marchand de vaches,produits alimentaires
bouvière,employées pour le ménage et la ferme
brasseur,produits alimentaires
brigadier des douanes en retraite,administration publique
brigadier national des impôts,administration publique
buffetier,"hôtellerie,restauration"
buronnier,employées pour le ménage et la ferme
bédéiste,arts graphiques
bétuliculteur,industrie du papier
cabinettarde,"bois,liège,meubles"
cadre de banque retraité chevalier légion d'honneur,"banques,établissements financiers"
canonnier de marine,transports
canonnier marin,transports
cantinière,"hôtellerie,restauration"
capitaine de navire,transports
capitaine en retraite,administration publique
capitaine propriétaire,transports
cardeur à laine,industrie textile
cariste,transports
cartonnière,industrie du papier
cavalier de la maréchaussée,administration publique
chandelon,horlogerie
chanteur ambulant,arts graphiques
chanvrier,"construction,charpenterie"
charcutier,produits alimentaires
chargeur de pain,produits alimentaires
charpentier sur fer,"construction,charpenterie"
charpentier à bateaux,"construction,charpenterie"
charpentier-menuisier,"construction,charpenterie"
charron et carrossier,"construction,charpenterie"
chaudronnier monteur traceur,industrie des métaux
chauffeur automobile,transports
chef d'escadron au régiment d'artillerie,administration publique
chef d'équipe aux chemins de fer,transports
chef de bataillon vicomte,administration publique
chef de brigade de gendarmerie,administration publique
chef de district aux chemins de fer,transports
chef de groupe comptable,"banques,établissements financiers"
chef de secrétariat,bureaux de consultation
